anio,depto_divipola,departamento,valor_api_mm
2005,5,Antioquia,126955.31
2005,8,Atlántico,36210.73
2005,11,Bogotá D.C.,225062.68
2005,13,Bolívar,29928.71
2005,15,Boyacá,21506.4
2005,17,Caldas,15651.52
2005,18,Caquetá,3382.38
2005,19,Cauca,13635.720000000001
2005,20,Cesar,15624.119999999999
2005,23,Córdoba,15848.67
2005,25,Cundinamarca,49793.83
2005,27,Chocó,3646.37
2005,41,Huila,15537.949999999999
2005,44,La Guajira,10259.44
2005,47,Magdalena,11430.27
2005,50,Meta,18367.03
2005,52,Nariño,13066.21
2005,54,Norte de Santander,13118.26
2005,63,Quindío,6984.400000000001
2005,66,Risaralda,14610.24
2005,68,Santander,52330.04
2005,70,Sucre,6354.54
2005,73,Tolima,19932.2
2005,76,Valle del Cauca,86713.34
2005,81,Arauca,8547.53
2005,85,Casanare,17416.78
2005,86,Putumayo,2671.82
2005,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",1305.05
2005,91,Amazonas,658.6
2005,94,Guainía,339.85
2005,95,Guaviare,860.5600000000001
2005,97,Vaupés,210.57
2005,99,Vichada,705.9699999999999
2006,5,Antioquia,138385.05
2006,8,Atlántico,39806.0
2006,11,Bogotá D.C.,244539.26
2006,13,Bolívar,32847.98
2006,15,Boyacá,23137.36
2006,17,Caldas,17261.62
2006,18,Caquetá,3568.9700000000003
2006,19,Cauca,14803.99
2006,20,Cesar,17275.89
2006,23,Córdoba,17065.7
2006,25,Cundinamarca,53006.34
2006,27,Chocó,3803.12
2006,41,Huila,16063.18
2006,44,La Guajira,11245.800000000001
2006,47,Magdalena,11866.83
2006,50,Meta,21268.04
2006,52,Nariño,14661.88
2006,54,Norte de Santander,14979.86
2006,63,Quindío,8002.0599999999995
2006,66,Risaralda,16207.25
2006,68,Santander,57390.32
2006,70,Sucre,7123.51
2006,73,Tolima,21713.01
2006,76,Valle del Cauca,96211.07
2006,81,Arauca,9049.47
2006,85,Casanare,17508.38
2006,86,Putumayo,3029.48
2006,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",1433.22
2006,91,Amazonas,691.3100000000001
2006,94,Guainía,373.41999999999996
2006,95,Guaviare,906.99
2006,97,Vaupés,227.51
2006,99,Vichada,742.3
2007,5,Antioquia,151345.68
2007,8,Atlántico,44768.88
2007,11,Bogotá D.C.,265611.39
2007,13,Bolívar,36256.54
2007,15,Boyacá,26503.06
2007,17,Caldas,18498.42
2007,18,Caquetá,3914.65
2007,19,Cauca,15773.65
2007,20,Cesar,18487.83
2007,23,Córdoba,19541.65
2007,25,Cundinamarca,58362.06
2007,27,Chocó,3969.85
2007,41,Huila,17278.25
2007,44,La Guajira,11831.44
2007,47,Magdalena,12805.789999999999
2007,50,Meta,22965.39
2007,52,Nariño,15498.1
2007,54,Norte de Santander,16394.77
2007,63,Quindío,8505.7
2007,66,Risaralda,16859.15
2007,68,Santander,62886.76
2007,70,Sucre,7869.849999999999
2007,73,Tolima,24306.84
2007,76,Valle del Cauca,106235.68000000001
2007,81,Arauca,9849.99
2007,85,Casanare,16964.0
2007,86,Putumayo,3485.1
2007,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",1600.12
2007,91,Amazonas,729.22
2007,94,Guainía,382.47
2007,95,Guaviare,999.71
2007,97,Vaupés,277.21000000000004
2007,99,Vichada,792.25
2008,5,Antioquia,156349.51
2008,8,Atlántico,46820.52
2008,11,Bogotá D.C.,279895.11
2008,13,Bolívar,37957.36
2008,15,Boyacá,29359.92
2008,17,Caldas,19203.12
2008,18,Caquetá,4231.44
2008,19,Cauca,17134.56
2008,20,Cesar,20718.19
2008,23,Córdoba,19248.35
2008,25,Cundinamarca,63852.97
2008,27,Chocó,4280.79
2008,41,Huila,19063.37
2008,44,La Guajira,13693.439999999999
2008,47,Magdalena,14332.75
2008,50,Meta,29830.440000000002
2008,52,Nariño,15914.08
2008,54,Norte de Santander,17959.23
2008,63,Quindío,8843.24
2008,66,Risaralda,17698.329999999998
2008,68,Santander,68819.95
2008,70,Sucre,8356.57
2008,73,Tolima,25855.66
2008,76,Valle del Cauca,110873.37
2008,81,Arauca,11383.43
2008,85,Casanare,19023.77
2008,86,Putumayo,4128.83
2008,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",1631.03
2008,91,Amazonas,756.51
2008,94,Guainía,401.27
2008,95,Guaviare,994.9
2008,97,Vaupés,289.7
2008,99,Vichada,831.95
2009,5,Antioquia,158371.68
2009,8,Atlántico,47998.93
2009,11,Bogotá D.C.,291590.09
2009,13,Bolívar,38474.17
2009,15,Boyacá,30027.63
2009,17,Caldas,18915.670000000002
2009,18,Caquetá,4498.88
2009,19,Cauca,17742.28
2009,20,Cesar,21579.81
2009,23,Córdoba,19452.14
2009,25,Cundinamarca,65968.48
2009,27,Chocó,5220.29
